month,hour,day_type,weather_condition,temperature,location_zone,ride_demand,lag_1,lag_24
2,22,Weekend,Clear,36.80043371670729,University,20,59.0,19.0
10,20,Weekday,Cloudy,33.08879883283282,Residential,35,20.0,16.0
12,3,Weekday,Cloudy,18.393326648766,Mall,14,35.0,45.0
2,6,Weekday,Clear,22.757123676601807,Suburb,9,14.0,40.0
10,14,Weekend,Cloudy,19.5285596674377,Central,18,9.0,34.0
4,17,Weekday,Clear,30.54849419067699,University,35,18.0,36.0
8,11,Weekday,Cloudy,34.64250893448907,Suburb,12,35.0,48.0
7,16,Weekday,Cloudy,20.432742115510507,Industrial,22,12.0,57.0
12,0,Weekday,Rainy,36.44343205305448,Industrial,27,22.0,21.0
9,10,Weekday,Rainy,30.221197524700628,Central,55,27.0,35.0
8,0,Weekend,Clear,33.17931826711795,Mall,16,55.0,35.0
5,14,Weekday,Cloudy,39.37084066939022,Stadium,17,16.0,21.0
2,20,Weekday,Clear,19.84098174144934,Airport,35,17.0,8.0
5,9,Weekday,Clear,37.82692850551136,IT Park,40,35.0,23.0
8,6,Weekend,Rainy,20.774259311723004,Mall,27,40.0,22.0
10,1,Weekday,Rainy,26.64509374600701,Mall,26,27.0,16.0
9,9,Weekend,Rainy,36.731651319284516,Stadium,41,26.0,21.0
12,23,Weekend,Clear,37.937593208233096,University,14,41.0,15.0
12,3,Weekday,Rainy,29.140176817993197,Suburb,13,14.0,13.0
12,11,Weekday,Rainy,31.070302042059353,Central,30,13.0,45.0
9,18,Weekday,Clear,33.57924136116826,IT Park,41,30.0,41.0
1,10,Weekday,Clear,36.32069070595971,Suburb,31,41.0,20.0
9,7,Weekend,Cloudy,20.673245729828658,Airport,19,31.0,19.0
7,17,Weekday,Cloudy,35.82152478104301,IT Park,35,19.0,59.0
9,10,Weekday,Rainy,28.58807531125557,Industrial,45,35.0,20.0
8,10,Weekday,Clear,27.913715352379718,Mall,42,45.0,35.0
1,12,Weekday,Cloudy,27.32579454393396,Airport,26,42.0,14.0
12,2,Weekend,Cloudy,29.20265487541294,Residential,14,26.0,9.0
8,11,Weekday,Clear,38.791112174681274,Industrial,20,14.0,18.0
8,2,Weekend,Rainy,30.060483001427336,Airport,27,20.0,35.0
11,9,Weekday,Clear,38.969905841789064,University,29,27.0,12.0
3,16,Weekday,Clear,21.96638287354409,Residential,11,29.0,22.0
1,21,Weekday,Clear,33.930991534317926,Central,20,11.0,27.0
8,1,Weekday,Clear,35.86926984939244,Suburb,10,20.0,55.0
3,16,Weekend,Cloudy,32.94083428936696,Airport,20,10.0,16.0
3,15,Weekday,Rainy,31.352290164983888,Industrial,24,20.0,17.0
1,1,Weekday,Clear,30.42588118389601,University,17,24.0,35.0
11,21,Weekday,Clear,36.94047061673131,University,16,17.0,40.0
5,19,Weekend,Clear,36.076225137619005,Industrial,39,16.0,27.0
10,5,Weekday,Cloudy,20.69035186597319,Airport,21,39.0,26.0
7,9,Weekend,Rainy,36.66892845467932,IT Park,39,21.0,41.0
10,9,Weekend,Cloudy,27.109509627689732,Hospital,37,39.0,14.0
9,7,Weekday,Cloudy,23.581330259907837,Hospital,13,37.0,13.0
12,0,Weekday,Cloudy,37.134908496306366,Industrial,22,13.0,30.0
7,12,Weekday,Clear,27.504545591942318,University,13,22.0,41.0
9,23,Weekend,Cloudy,35.78402318388997,Suburb,8,13.0,31.0
8,8,Weekend,Cloudy,23.79487946302858,University,40,8.0,19.0
12,21,Weekday,Cloudy,18.086445071288793,Stadium,16,40.0,35.0
2,9,Weekday,Rainy,28.900102243864776,University,44,16.0,45.0
1,14,Weekday,Cloudy,20.205021646143454,Industrial,23,44.0,42.0
7,4,Weekday,Cloudy,34.59627102154801,Airport,19,23.0,26.0
7,21,Weekday,Rainy,24.073652993527027,IT Park,21,19.0,14.0
8,15,Weekday,Rainy,27.76020422527653,Mall,22,21.0,20.0
5,12,Weekend,Cloudy,19.914738432014193,IT Park,15,22.0,27.0
3,21,Weekday,Clear,24.30650346583956,Suburb,10,15.0,29.0
12,19,Weekday,Clear,35.192785351688585,Suburb,34,10.0,11.0
8,17,Weekday,Cloudy,21.33493406185103,Airport,44,34.0,20.0
6,10,Weekday,Clear,32.237510344793066,IT Park,43,44.0,10.0
11,8,Weekend,Clear,38.18336876169903,Industrial,42,43.0,20.0
3,15,Weekday,Clear,32.95640871466985,Hospital,15,42.0,24.0
1,1,Weekday,Cloudy,35.84247716442899,University,20,15.0,17.0
3,1,Weekday,Clear,20.39737584468615,Residential,13,20.0,16.0
5,11,Weekday,Clear,23.5161001720452,Stadium,10,13.0,39.0
3,7,Weekday,Clear,37.679854749293,Industrial,19,10.0,21.0
1,8,Weekday,Cloudy,33.73232349959796,IT Park,45,19.0,39.0
5,11,Weekday,Clear,32.07018418030084,Residential,12,45.0,37.0
10,8,Weekend,Clear,32.6028681946774,Hospital,38,12.0,13.0
7,9,Weekend,Cloudy,27.112412194702156,Industrial,36,38.0,22.0
7,1,Weekday,Cloudy,18.98024589558837,Central,20,36.0,13.0
11,15,Weekend,Clear,35.25771392555604,Residential,17,20.0,8.0
9,19,Weekday,Cloudy,32.93169119673779,Industrial,42,17.0,40.0
10,6,Weekday,Clear,28.401698210479942,Hospital,15,42.0,16.0
10,1,Weekday,Cloudy,37.794711538101666,Residential,11,15.0,44.0
12,0,Weekend,Clear,25.395512629672176,Airport,19,11.0,23.0
3,18,Weekday,Clear,24.47507837308719,University,28,19.0,19.0
7,3,Weekend,Cloudy,37.201519151747746,University,13,28.0,21.0
1,23,Weekday,Cloudy,35.53372840469768,University,13,13.0,22.0
4,21,Weekday,Clear,29.329555834263584,Suburb,15,13.0,15.0
4,1,Weekday,Clear,20.8761642680727,Mall,14,15.0,10.0
5,13,Weekend,Cloudy,22.731572372231156,Hospital,17,14.0,34.0
7,1,Weekday,Cloudy,32.43701578899375,University,18,17.0,44.0
7,14,Weekday,Clear,26.470907232489054,IT Park,15,18.0,43.0
11,11,Weekday,Cloudy,36.40241021665137,Mall,21,15.0,42.0
4,4,Weekday,Clear,38.899010205308485,Stadium,18,21.0,15.0
7,19,Weekday,Clear,35.724012356048206,Mall,36,18.0,20.0
11,6,Weekday,Clear,26.305999305902258,Residential,15,36.0,13.0
3,23,Weekday,Clear,35.35110144309133,IT Park,20,15.0,10.0
6,20,Weekday,Clear,25.731716816355036,Industrial,47,20.0,19.0
12,9,Weekday,Clear,21.676201930843945,IT Park,48,47.0,45.0
2,13,Weekday,Clear,18.734650507048862,Suburb,15,48.0,12.0
10,13,Weekend,Clear,26.48576768074244,University,19,15.0,38.0
9,4,Weekend,Clear,37.8783046813402,Stadium,16,19.0,36.0
5,17,Weekend,Clear,23.257704930624882,University,44,16.0,20.0
6,23,Weekday,Cloudy,22.54328962845525,Central,24,44.0,17.0
12,13,Weekday,Clear,39.33605727530289,Stadium,11,24.0,42.0
12,1,Weekend,Cloudy,18.550090482713028,Central,21,11.0,15.0
12,11,Weekend,Clear,35.287207308662595,Industrial,17,21.0,11.0
12,21,Weekday,Clear,25.07013902629915,Stadium,10,17.0,19.0
4,23,Weekday,Cloudy,18.824735051132507,University,18,10.0,28.0
11,5,Weekend,Rainy,38.19165588461084,Suburb,14,18.0,13.0
10,3,Weekday,Clear,21.07213126461084,Industrial,14,14.0,13.0
7,12,Weekend,Clear,30.139144241965298,Stadium,13,14.0,15.0
12,3,Weekday,Cloudy,24.029192563450053,Airport,26,13.0,14.0
9,21,Weekday,Rainy,19.434241648063203,Suburb,22,26.0,17.0
7,13,Weekday,Rainy,19.09829468459434,University,26,22.0,18.0
1,15,Weekday,Clear,20.54224737439945,Central,16,26.0,15.0
1,3,Weekday,Clear,19.57007430556636,Hospital,19,16.0,21.0
9,23,Weekday,Cloudy,34.732278541438305,Central,18,19.0,18.0
11,0,Weekday,Cloudy,28.682456450235442,University,18,18.0,36.0
9,12,Weekday,Cloudy,25.543626009677553,Mall,18,18.0,15.0
4,3,Weekend,Rainy,27.20411602290416,Residential,22,18.0,20.0
9,19,Weekend,Cloudy,38.43682818259771,IT Park,45,22.0,47.0
3,17,Weekday,Clear,38.03653988023924,University,30,45.0,48.0
7,5,Weekday,Clear,33.74488256269669,Airport,23,30.0,15.0
6,2,Weekday,Cloudy,37.46301230327713,University,15,23.0,19.0
8,22,Weekday,Clear,25.032256606927746,Airport,24,15.0,16.0
11,12,Weekday,Clear,26.384405172182223,Central,21,24.0,44.0
9,15,Weekday,Clear,31.501668000793018,Mall,18,21.0,24.0
5,4,Weekend,Clear,31.719770840539812,Stadium,17,18.0,11.0
1,3,Weekday,Clear,28.597396436271502,University,18,17.0,21.0
3,20,Weekday,Cloudy,26.814472665634973,Residential,31,18.0,17.0
10,7,Weekday,Clear,39.69596685539129,Industrial,19,31.0,10.0
12,18,Weekday,Clear,36.06471977458993,Airport,46,19.0,18.0
8,13,Weekend,Clear,27.569564353536997,Residential,15,46.0,14.0
11,6,Weekday,Clear,34.00043449927051,Industrial,18,15.0,14.0
6,13,Weekday,Rainy,23.93035725155411,Stadium,28,18.0,13.0
8,5,Weekday,Rainy,20.20372517722126,IT Park,23,28.0,26.0
9,11,Weekday,Clear,25.753482562160293,University,17,23.0,22.0
4,15,Weekday,Cloudy,26.865401602714673,Airport,26,17.0,26.0
1,16,Weekday,Clear,18.36381674033476,Central,17,26.0,16.0
1,12,Weekday,Rainy,35.925424035989714,Industrial,34,17.0,19.0
10,22,Weekday,Clear,25.902254852561995,Airport,24,34.0,18.0
4,13,Weekday,Clear,30.769199647163234,Mall,17,24.0,18.0
12,6,Weekend,Cloudy,19.627190119961032,IT Park,16,17.0,18.0
7,13,Weekday,Cloudy,21.849930232512847,Airport,18,16.0,22.0
2,14,Weekend,Clear,37.57326195720632,Industrial,20,18.0,45.0
3,11,Weekday,Cloudy,31.391125613421618,Hospital,10,20.0,30.0
1,16,Weekday,Clear,38.90624910375068,Stadium,15,10.0,23.0
5,8,Weekday,Rainy,39.97250075660897,IT Park,60,15.0,15.0
1,21,Weekend,Clear,26.180922537328076,IT Park,22,60.0,24.0
8,14,Weekend,Rainy,24.57366740983204,Hospital,24,22.0,21.0
1,11,Weekday,Clear,36.883833213500125,Stadium,18,24.0,18.0
11,1,Weekday,Clear,39.96945139482399,Mall,14,18.0,17.0
1,4,Weekday,Rainy,31.852107153114062,Central,29,14.0,18.0
2,12,Weekend,Rainy,35.49309589525349,IT Park,23,29.0,31.0
2,19,Weekday,Cloudy,35.19840889393603,Mall,37,23.0,19.0
12,22,Weekday,Clear,25.817473580830033,IT Park,21,37.0,46.0
6,7,Weekday,Clear,30.633948365655918,Central,20,21.0,15.0
7,13,Weekend,Clear,36.327252707812704,Hospital,19,20.0,18.0
5,14,Weekday,Clear,33.13850527774322,Central,23,19.0,28.0
1,10,Weekday,Cloudy,18.46560390760484,Residential,40,23.0,23.0
1,0,Weekend,Clear,25.407524715745737,University,17,40.0,17.0
3,20,Weekday,Cloudy,21.17846532508132,University,45,17.0,26.0
2,2,Weekday,Cloudy,23.125388665716862,Hospital,18,45.0,17.0
5,16,Weekday,Clear,37.92076850480916,Central,24,18.0,34.0
12,18,Weekend,Cloudy,18.8116523560369,IT Park,40,24.0,24.0
10,13,Weekday,Cloudy,22.835615663162322,Industrial,16,40.0,17.0
6,21,Weekday,Cloudy,24.810525749241094,Suburb,12,16.0,16.0
7,22,Weekday,Clear,31.571449583260687,Mall,19,12.0,18.0
4,7,Weekend,Cloudy,29.75023718188904,IT Park,13,19.0,20.0
7,12,Weekend,Clear,22.801928622774494,Mall,15,13.0,10.0
11,19,Weekday,Clear,21.613303478909398,Hospital,34,15.0,15.0
8,2,Weekday,Cloudy,23.209556761114612,Central,20,34.0,60.0
11,4,Weekday,Cloudy,29.055651787436425,IT Park,14,20.0,22.0
1,8,Weekday,Clear,23.965911285646477,University,47,14.0,24.0
6,5,Weekday,Cloudy,38.847255035369884,Hospital,10,47.0,18.0
8,21,Weekday,Rainy,28.20503487143465,Residential,16,10.0,14.0
5,1,Weekday,Clear,19.293512363982014,IT Park,19,16.0,29.0
4,12,Weekday,Rainy,34.043860928405934,Airport,35,19.0,23.0
2,4,Weekday,Cloudy,25.234596340597772,University,13,35.0,37.0
6,7,Weekday,Cloudy,32.37675650528145,Mall,19,13.0,21.0
6,22,Weekday,Clear,24.151076151511106,Industrial,22,19.0,20.0
11,0,Weekend,Clear,30.556362318133036,Central,22,22.0,19.0
1,19,Weekday,Rainy,34.98735510576422,Mall,47,22.0,23.0
9,11,Weekend,Clear,38.416192319040185,Central,15,47.0,40.0
12,22,Weekday,Clear,23.744797177527694,Stadium,14,15.0,17.0
11,10,Weekday,Cloudy,25.366852921977586,Hospital,36,14.0,45.0
6,6,Weekend,Clear,28.213861246290673,Mall,19,36.0,18.0
3,14,Weekday,Cloudy,38.397846430191755,University,16,19.0,24.0
4,21,Weekday,Cloudy,37.830510849834454,Airport,21,16.0,40.0
12,23,Weekday,Rainy,19.977322162214037,Industrial,30,21.0,16.0
11,10,Weekday,Cloudy,20.90245616658384,IT Park,32,30.0,12.0
4,21,Weekday,Clear,28.901201901274042,Suburb,7,32.0,19.0
3,15,Weekday,Clear,20.345624001719315,Hospital,16,7.0,13.0
10,2,Weekend,Cloudy,25.602779213671344,Suburb,16,16.0,15.0
3,19,Weekday,Clear,21.26447832078451,University,41,16.0,34.0
3,13,Weekday,Rainy,31.992887812901486,Stadium,18,41.0,20.0
4,2,Weekday,Cloudy,38.88889949826156,IT Park,16,18.0,14.0
7,0,Weekday,Clear,39.92814294647639,IT Park,21,16.0,47.0
4,20,Weekday,Rainy,26.255304914932125,IT Park,51,21.0,10.0
9,14,Weekday,Clear,31.17827801652147,Central,24,51.0,16.0
1,0,Weekday,Clear,36.837888377529794,Industrial,17,24.0,19.0
8,16,Weekday,Cloudy,20.584165601520446,Mall,19,17.0,35.0
7,1,Weekend,Rainy,33.17041704314323,Industrial,28,19.0,13.0
2,19,Weekend,Clear,26.994560557951502,Mall,49,28.0,19.0
8,5,Weekday,Clear,22.53521552616361,Hospital,17,49.0,22.0
1,7,Weekday,Clear,26.860579612443722,Central,19,17.0,22.0
11,15,Weekday,Clear,19.67112631322817,Industrial,22,19.0,47.0
12,18,Weekend,Clear,33.29895726896473,Central,46,22.0,15.0
9,0,Weekend,Clear,23.560338712465967,Airport,26,46.0,14.0
9,2,Weekday,Cloudy,24.850924190987314,Hospital,13,26.0,36.0
2,2,Weekday,Rainy,20.66378856131218,Industrial,23,13.0,19.0
7,4,Weekend,Clear,37.02250050557762,Central,15,23.0,16.0
10,11,Weekend,Clear,28.85577414422025,University,14,15.0,21.0
3,11,Weekday,Cloudy,30.587231311300805,Residential,15,14.0,30.0
7,19,Weekday,Cloudy,30.5275190280868,Mall,44,15.0,32.0
12,12,Weekday,Rainy,27.03084851990952,IT Park,23,44.0,7.0
10,19,Weekday,Clear,22.235658139639067,Residential,34,23.0,16.0
9,8,Weekday,Clear,34.392920466964796,Suburb,31,34.0,16.0
4,6,Weekday,Clear,20.795237837868836,Central,24,31.0,41.0
12,3,Weekday,Cloudy,20.28522338613383,Suburb,14,24.0,18.0
1,18,Weekday,Clear,33.623190827123075,Airport,42,14.0,16.0
2,21,Weekday,Cloudy,22.594414449943642,University,13,42.0,21.0
1,18,Weekday,Clear,24.749000529762313,Mall,48,13.0,51.0
12,5,Weekday,Clear,28.455004274038284,Airport,20,48.0,24.0
5,12,Weekday,Cloudy,27.885728968050017,Stadium,9,20.0,17.0
5,10,Weekday,Clear,33.58874075142998,Hospital,37,9.0,19.0
11,12,Weekend,Cloudy,31.715499455753942,Airport,20,37.0,28.0
7,12,Weekday,Clear,32.17671557020105,Residential,13,20.0,49.0
9,21,Weekend,Clear,33.70919527442006,Mall,17,13.0,17.0
9,19,Weekday,Clear,24.43748000331624,Residential,44,17.0,19.0
3,14,Weekday,Clear,25.091332859610418,Mall,17,44.0,22.0
3,20,Weekday,Clear,27.63595045370219,IT Park,33,17.0,46.0
3,12,Weekday,Cloudy,24.764167806737575,Industrial,20,33.0,26.0
4,21,Weekday,Cloudy,39.66863311735899,Mall,14,20.0,13.0
8,10,Weekend,Clear,35.90914238127145,Residential,28,14.0,23.0
6,18,Weekday,Clear,21.622403141632653,Suburb,45,28.0,15.0
8,7,Weekday,Rainy,18.12307142940113,Airport,23,45.0,14.0
1,19,Weekday,Clear,18.94123190143989,Airport,41,23.0,15.0
8,7,Weekend,Clear,23.369395922944356,Mall,18,41.0,44.0
4,9,Weekend,Clear,20.514408288410845,Stadium,35,18.0,23.0
11,15,Weekend,Cloudy,29.733438527636586,Mall,14,35.0,34.0
1,18,Weekend,Clear,36.87589490000189,Central,49,14.0,31.0
8,22,Weekend,Cloudy,34.208504860091004,Suburb,8,49.0,24.0
4,10,Weekend,Clear,22.74339938780819,IT Park,39,8.0,14.0
6,12,Weekday,Clear,26.78458363256729,IT Park,13,39.0,42.0
8,8,Weekend,Clear,29.173672609688108,Residential,45,13.0,13.0
4,19,Weekday,Cloudy,35.82452868907338,University,40,45.0,48.0
3,23,Weekday,Cloudy,36.46067526833562,Industrial,23,40.0,20.0
9,18,Weekday,Clear,38.01380286197107,Residential,33,23.0,9.0
3,15,Weekday,Clear,29.203395511063256,Central,20,33.0,37.0
9,6,Weekday,Cloudy,33.27404442158898,University,11,20.0,20.0
2,18,Weekday,Cloudy,20.45960816714662,Industrial,40,11.0,13.0
2,11,Weekday,Clear,30.43635711898761,Airport,23,40.0,17.0
2,14,Weekday,Cloudy,23.47121980836497,Residential,9,23.0,44.0
6,22,Weekday,Clear,27.497771470585445,IT Park,15,9.0,17.0
3,13,Weekend,Clear,31.949111182747828,University,14,15.0,33.0
9,10,Weekend,Clear,23.653690632783185,University,40,14.0,20.0
4,9,Weekday,Cloudy,19.148071271528742,Suburb,42,40.0,14.0
1,10,Weekday,Clear,18.225144840992666,Mall,30,42.0,28.0
4,5,Weekend,Cloudy,18.487509781979472,Central,20,30.0,45.0
1,1,Weekday,Cloudy,18.183694225302933,Industrial,20,20.0,23.0
5,10,Weekday,Cloudy,20.42781124427326,Industrial,42,20.0,41.0
4,18,Weekday,Clear,23.26875172054286,IT Park,37,42.0,18.0
8,5,Weekday,Clear,22.866873312010583,Mall,14,37.0,35.0
8,13,Weekday,Rainy,39.70952507195773,IT Park,22,14.0,14.0
7,19,Weekday,Cloudy,24.73213431459675,Hospital,48,22.0,49.0
3,5,Weekend,Cloudy,20.80325723390678,Central,18,48.0,8.0
1,16,Weekend,Clear,30.002375971690675,Mall,18,18.0,39.0
1,9,Weekday,Clear,36.875064018745185,University,42,18.0,13.0
12,0,Weekday,Cloudy,32.91732828932885,Hospital,16,42.0,45.0
11,2,Weekday,Clear,24.51380596097991,IT Park,18,16.0,40.0
3,7,Weekday,Cloudy,30.355555515412007,Hospital,11,18.0,23.0
6,7,Weekday,Clear,33.726831432409,Airport,23,11.0,33.0
7,19,Weekday,Clear,34.01829883209033,Residential,34,23.0,20.0
6,21,Weekday,Clear,32.66384601654916,University,17,34.0,11.0
6,14,Weekday,Clear,37.1578293450636,Mall,15,17.0,40.0
6,23,Weekend,Clear,37.1423200835703,Airport,20,15.0,23.0
3,6,Weekday,Cloudy,30.73660430695407,University,15,20.0,9.0
6,10,Weekday,Clear,27.45684012044667,IT Park,36,15.0,15.0
8,6,Weekday,Clear,32.1145465024322,IT Park,17,36.0,14.0
11,3,Weekday,Rainy,36.00066403015019,Mall,23,17.0,40.0
11,11,Weekday,Clear,18.124346306506062,Mall,16,23.0,42.0
2,5,Weekday,Clear,39.823934198326725,Industrial,16,16.0,30.0
5,13,Weekend,Cloudy,22.023662991242382,Airport,26,16.0,20.0
1,11,Weekday,Rainy,28.345477684519476,Mall,30,26.0,20.0
12,10,Weekend,Clear,37.18465416654307,Industrial,49,30.0,42.0
1,18,Weekday,Clear,22.950888778972384,Airport,43,49.0,37.0
5,20,Weekday,Cloudy,28.48949492580843,IT Park,38,43.0,14.0
12,4,Weekday,Clear,20.916807963985942,Hospital,13,38.0,22.0
3,13,Weekday,Cloudy,26.69167915854024,Hospital,14,13.0,48.0
4,20,Weekend,Rainy,21.896980005446053,Stadium,47,14.0,18.0
3,23,Weekday,Rainy,25.999810472965454,Airport,29,47.0,18.0
1,15,Weekday,Clear,26.216212769439885,Airport,26,29.0,42.0
1,12,Weekend,Clear,39.84975737116332,Industrial,17,26.0,16.0
12,21,Weekday,Rainy,39.88588664468299,Residential,17,17.0,18.0
12,21,Weekday,Clear,20.52529813053347,Hospital,10,17.0,11.0
5,19,Weekday,Clear,33.97131314522364,IT Park,44,10.0,23.0
6,21,Weekend,Cloudy,19.138400552720224,Industrial,22,44.0,34.0
3,3,Weekday,Clear,18.66422433741815,Mall,12,22.0,17.0
12,10,Weekday,Clear,20.317345673389216,Airport,38,12.0,15.0
9,16,Weekday,Rainy,39.24068445417455,Central,22,38.0,20.0
5,6,Weekday,Clear,38.69899805368334,Industrial,21,22.0,15.0
8,13,Weekday,Clear,22.26641204617497,University,16,21.0,36.0
1,10,Weekday,Clear,21.556791382181654,Suburb,25,16.0,17.0
5,21,Weekday,Cloudy,23.291771903350835,Hospital,19,25.0,23.0
3,8,Weekday,Clear,29.34203386965313,IT Park,35,19.0,16.0
12,22,Weekday,Clear,30.533501904779015,University,18,35.0,16.0
1,12,Weekend,Cloudy,22.875055469667842,Stadium,11,18.0,26.0
4,22,Weekday,Cloudy,34.64570133797879,IT Park,16,11.0,30.0
5,17,Weekday,Clear,24.810169726858316,Mall,37,16.0,49.0
7,10,Weekend,Cloudy,38.286889161647025,University,37,37.0,43.0
1,14,Weekday,Clear,32.44789954204808,Central,21,37.0,38.0
3,21,Weekday,Cloudy,27.599726274679455,Residential,16,21.0,13.0
2,18,Weekend,Clear,35.37806403746259,Hospital,43,16.0,14.0
9,0,Weekday,Clear,35.99412177302662,Airport,18,43.0,47.0
10,3,Weekday,Cloudy,24.39059532339676,Residential,10,18.0,29.0
6,13,Weekend,Clear,25.473719964393855,Hospital,13,10.0,26.0
10,13,Weekday,Clear,38.591013382029274,Hospital,15,13.0,17.0
3,2,Weekday,Clear,21.624302843991984,Mall,16,15.0,17.0
8,16,Weekday,Cloudy,18.927309173184554,Stadium,14,16.0,10.0
8,2,Weekday,Clear,27.989217097410084,Stadium,16,14.0,44.0
